epoch,train_loss,train_acc,val_loss,val_acc
1,3.2765650598596476,0.1430274135876043,3.054171692105574,0.13987473903966596
2,3.0008822825867174,0.16090584028605484,2.925151272954921,0.162839248434238
3,2.8858699329703583,0.20202622169249107,2.8150586375115063,0.23799582463465555
4,2.7897020963434667,0.27175208581644816,2.730897910908518,0.25052192066805845
5,2.6983536366768472,0.29797377830750893,2.6470654160095406,0.2797494780793319
6,1.546447304207321,0.6156138259833135,0.8742499773338095,0.8016701461377871
7,0.6981424292165418,0.8325387365911799,0.49359312442001074,0.9039665970772442
8,0.43196836268447153,0.899880810488677,0.3974887194084723,0.9123173277661796
9,0.30935887363656056,0.9237187127532777,0.34639563400586115,0.9164926931106472
10,0.22295515138003197,0.9427890345649583,0.31374362115369087,0.9352818371607515
11,0.19072752546283714,0.9487485101311085,0.32929806618918206,0.9311064718162839
12,0.15977487751283861,0.9600715137067938,0.2886108954112378,0.9352818371607515
13,0.12159454914895514,0.9690107270560191,0.2876639227015365,0.9290187891440501
14,0.06724727267890067,0.9856972586412396,0.2838919167766554,0.941544885177453
15,0.05886391788516838,0.9886769964243146,0.24744936369849457,0.9457202505219207
16,0.04508897203938753,0.9958283671036948,0.26772142353901224,0.941544885177453
17,0.04034254065447257,0.9958283671036948,0.26082728203339406,0.9436325678496869
18,0.031094892798557754,0.9982121573301549,0.2702234119909868,0.9373695198329853
19,0.026421313772379856,0.9994040524433849,0.2630013364341911,0.9436325678496869
20,0.02099309639208223,0.99880810488677,0.2627967250093989,0.9436325678496869
